Date,Day,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,,,,,
4/20/19,Sat,"2,931","11,254",5.31,0,"1,440",0,0,0,0,,,,,
4/21/19,Sun,"3,041","12,835",6.05,0,"1,440",0,0,0,0,,,,,
4/22/19,Mon,"2,815","4,618",2.18,0,"1,440",0,0,0,0,,,,,
4/23/19,Tue,"2,839","4,363",2.06,0,"1,440",0,0,0,0,,,,,
4/24/19,Wed,"2,531","5,714",2.69,0,"1,440",0,0,0,0,,,,,
4/25/19,Thu,"2,618","6,818",3.22,0,"1,440",0,0,0,0,,,,,
4/26/19,Fri,"2,920","7,488",3.53,0,"1,440",0,0,0,0,,,,,
4/27/19,Sat,"3,029","9,996",4.71,0,"1,440",0,0,0,0,,,,,
4/28/19,Sun,"2,698","7,587",3.58,0,"1,357",69,14,0,358,,,,,
4/29/19,Mon,"2,938","8,242",3.89,0,943,285,32,6,"1,505",,,,,
4/30/19,Tue,"2,626","7,027",3.31,0,921,218,28,2,"1,096",,,,,
5/1/19,Wed,"2,599","6,842",3.23,0,664,247,0,0,"1,090",,,,,
5/2/19,Thu,"2,905","10,932",5.16,0,598,285,35,15,"1,505",,,,,
5/3/19,Fri,"2,594","6,578",3.1,0,812,256,0,0,"1,079",,,,,
5/4/19,Sat,"2,890","9,211",4.34,0,712,214,38,24,"1,431",,,,,
5/5/19,Sun,"2,809","6,421",3.03,0,"1,169",230,38,3,"1,244",,,,,
5/6/19,Mon,"2,757","7,223",3.41,0,939,243,29,12,"1,275",,,,,
5/7/19,Tue,"2,533","5,552",2.65,0,916,182,14,5,923,,,,,
5/8/19,Wed,"2,840","5,739",2.71,0,706,270,18,1,"1,256",,,,,
5/9/19,Thu,"2,777","6,033",2.85,0,758,171,58,10,"1,181",,,,,
5/10/19,Fri,"3,172","7,198",3.39,0,763,260,63,14,"1,634",,,,,
5/11/19,Sat,"2,900","6,495",3.06,0,767,301,7,1,"1,402",,,,,
5/12/19,Sun,"2,925","9,439",4.45,0,774,283,23,8,"1,445",,,,,
5/13/19,Mon,"2,829","7,672",3.62,0,861,275,13,0,"1,332",,,,,
5/14/19,Tue,"3,019","7,343",3.46,0,885,234,60,5,"1,497",,,,,
5/15/19,Wed,"2,455","3,771",1.78,0,907,152,31,0,819,,,,,
5/16/19,Thu,"2,609","6,766",3.19,0,969,224,16,0,"1,051",,,,,
5/17/19,Fri,"2,870","8,446",3.98,0,861,256,43,7,"1,420",,,,,
5/18/19,Sat,"2,359","4,884",2.3,0,"1,106",161,13,1,776,,,,,
5/19/19,Sun,"2,965","8,762",4.13,0,785,277,37,6,"1,444",,,,,
5/20/19,Mon,"2,638","6,676",3.15,0,751,222,12,1,"1,045",,,,,
5/21/19,Tue,"2,708","5,315",2.51,0,960,224,32,2,"1,136",,,,,
5/22/19,Wed,"2,739","7,934",3.74,0,869,225,46,1,"1,250",,,,,
5/23/19,Thu,"2,512","5,639",2.66,0,942,186,22,2,937,,,,,
5/24/19,Fri,"3,472","11,897",5.61,0,"1,092",94,167,87,"2,130",,,,,
5/25/19,Sat,"3,022","9,379",4.42,0,"1,056",259,21,0,"1,255",,,,,
5/26/19,Sun,"3,167","14,646",6.91,0,416,233,71,42,"1,778",,,,,
5/27/19,Mon,"3,657","18,622",8.78,0,599,182,104,104,"2,259",,,,,
5/28/19,Tue,"2,957","11,099",5.23,0,598,229,56,12,"1,437",,,,,
5/29/19,Wed,"2,927","6,270",2.96,0,855,182,41,23,"1,348",,,,,
5/30/19,Thu,210,701,0.33,0,86,21,0,0,103,,,,,
